Title, artists_name, cost, approximate_estimate, material, size, country, period, style, genre
"Pommes, coing et grenade sur un linge",Pierre-Auguste Renoir,"EUR 176,400","EUR 150,000 - 250,000",oil on canvas,22 x 32.5 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
Madame Marie Desjardins,Kees van Dongen,"EUR 239,400","EUR 100,000 - 150,000",oil on canvas,49.2 x 73 cm,Unknown,1877-1968,Abstract Expressionism,Abstract
L'Enfant à la capuche,Pierre-Auguste Renoir,"EUR 327,600","EUR 200,000 - 300,000",oil on canvas,29 x 27 cm,Unknown,1841-1919,Abstract Expressionism,Portrait
Baigneuses,Berthe Morisot,"EUR 189,000","EUR 70,000 - 100,000",oil on canvas,41.1 x 33.1 cm,Unknown,1841-1895,Abstract Expressionism,Abstract
Nu de dos,Pierre-Auguste Renoir,"EUR 132,300","EUR 20,000 - 30,000",oil on canvas,21.5 x 13 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
Madame Vuillard sous la suspension verte,Édouard Vuillard,"EUR 365,400","EUR 200,000 - 300,000",N/A,26.6 x 21.5 cm,Unknown,1868-1940,Abstract Expressionism,Abstract
"Portrait de Geneviève au chapeau de paille, nièce du peintre",André Derain,"EUR 69,300","EUR 30,000 - 50,000",oil on canvas,61 x 50.1 cm,Unknown,1880-1954,Abstract Expressionism,Abstract
Femme allongée,Adolphe Joseph Thomas Monticelli,"EUR 4,788","EUR 2,000 - 3,000",N/A,18.6 x 26.1 cm,Unknown,1824-1886,Abstract Expressionism,Abstract
La Joie de vivre,Suzanne Valadon,"EUR 302,400","EUR 120,000 - 180,000",N/A,54.5 x 80 cm,Unknown,1865-1938,Abstract Expressionism,Abstract
"Julie, la Martiniquaise",Jules Pascin,"EUR 47,880","EUR 25,000 - 35,000",N/A,92 x 73 cm,Unknown,1885-1930,Abstract Expressionism,Abstract
Nu,Eugène Leroy,"EUR 32,760","EUR 30,000 - 50,000",oil on canvas,100.4 x 81.4 cm,Unknown,1910-2000,Abstract Expressionism,Abstract
Portrait de femme drapée de rouge,Félix Vallotton,"EUR 554,400","EUR 150,000 - 200,000",oil on canvas,80.9 x 65 cm,Switzerland,1865-1925,Abstract Expressionism,Portrait
Suzanne et les vieillards,Paul Sérusier,"EUR 113,400","EUR 50,000 - 70,000",oil on canvas,81 x 54.4 cm,Unknown,1863-1927,Abstract Expressionism,Abstract
Les Pêches,Pierre-Auguste Renoir,,"EUR 120,000 - 180,000",oil on canvas,18.6 x 30.7 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
"Éragny, Les Meules",Maximilien Luce,"EUR 63,000","EUR 30,000 - 50,000",N/A,34.3 x 51 cm,Unknown,1858-1941,Abstract Expressionism,Abstract
Laveuses au bord de la rivière,Eugène Boudin,,"EUR 60,000 - 80,000",oil on canvas,46.5 x 65.8 cm,Unknown,1824-1898,Abstract Expressionism,Abstract
"Deauville, la plage à marée montante",Eugène Boudin,"EUR 132,300","EUR 100,000 - 150,000",oil on canvas,49.6 x 75 cm,Unknown,1824-1898,Abstract Expressionism,Abstract
Portrait de l'enfant de M. Monteux,Maurice Denis,"EUR 22,680","EUR 20,000 - 30,000",oil on canvas,116.3 x 89.2 cm,Unknown,1870-1943,Abstract Expressionism,Portrait
"Bord de rivière, reflets dans l'eau",Camille Bombois,"EUR 9,450","EUR 10,000 - 15,000",oil on canvas,63.3 x 81.2 cm,Unknown,1883-1970,Abstract Expressionism,Abstract
La Rue et l'église,Maurice Utrillo,"EUR 100,800","EUR 70,000 - 100,000",N/A,50.8 x 60.5 cm,Unknown,1883-1955,Abstract Expressionism,Abstract
Rue de village sous la neige,Maurice de Vlaminck,"EUR 63,000","EUR 30,000 - 50,000",oil on canvas,54.1 x 65.3 cm,Unknown,1876-1958,Abstract Expressionism,Abstract
Paysage de Cassis,Achille-Émile Othon Friesz,"EUR 25,200","EUR 25,000 - 35,000",oil on canvas,65.5 x 81.5 cm,Unknown,1879-1949,Abstract Expressionism,Abstract
Paysage,Ker-Xavier Roussel,"EUR 4,788","EUR 1,000 - 1,500",N/A,27 x 36.4 cm,Unknown,1867-1944,Abstract Expressionism,Abstract
"Les Toits, Composition",Henri Eugène Augustin Le Sidaner,"EUR 100,800","EUR 50,000 - 80,000",oil on canvas,50.2 x 65.2 cm,Unknown,1862-1939,Abstract Expressionism,Abstract
Vue de village,Gustave Loiseau,"EUR 25,200","EUR 20,000 - 30,000",oil on canvas,33.3 x 41 cm,Unknown,1865-1935,Abstract Expressionism,Abstract
Viviers,Paul Signac,"EUR 15,120","EUR 15,000 - 20,000",N/A,27.9 x 44 cm,Unknown,1863-1935,Abstract Expressionism,Abstract
Études de bateaux,Pierre-Auguste Renoir,"EUR 30,240","EUR 10,000 - 15,000",N/A,23.2 x 29.3 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
Gül fugl i Landskab (Yellow bird in landscape),Carl-Henning Pedersen,,"EUR 40,000 - 60,000",N/A,98.9 x 122.4 cm,Unknown,1912-2007,Abstract Expressionism,Abstract
