Title, artists_name, cost, approximate_estimate, material, size, country, period, style, genre
Les courses à Longchamps (The Races),ÉDOUARD MANET,"USD 69,300","USD 20,000 - 30,000",N/A,401 x 515 mm,France,1832-1883,Engraving,Engraving
Mlle Bécat aux Ambassadeurs,EDGAR DEGAS,"USD 50,400","USD 25,000 - 35,000",N/A,208 x 195 mm,France,1834-1917,Engraving,Engraving
"Paysage sous bois, à l'Hermitage (Pontoise) (Woodlands at the Hermitage)",CAMILLE PISSARRO,"USD 27,720","USD 15,000 - 20,000",N/A,220 x 270 mm,France,1830-1903,Engraving,Engraving
Le bain (The Bath),FÉLIX VALLOTTON,"USD 44,100","USD 30,000 - 50,000",N/A,181 x 226 mm,Switzerland,1865-1925,Engraving,Engraving
La paresse (Laziness),FÉLIX VALLOTTON,"USD 50,400","USD 40,000 - 60,000",N/A,178 x 222 mm,Switzerland,1865-1925,Engraving,Engraving
La petite blanchisseuse,PIERRE BONNARD,"USD 15,120","USD 12,000 - 18,000",N/A,292 x 200 mm,France,1867-1947,Engraving,Engraving
"Maison dans la cour, from Quelques aspects de la vie de Paris",PIERRE BONNARD,"USD 5,670","USD 6,000 - 8,000",N/A,343 x 257 mm,France,1867-1947,Engraving,Engraving
"La Clownesse assise (Mademoiselle Cha-u-ka-o), from Elles",HENRI DE TOULOUSE-LAUTREC,"USD 151,200","USD 80,000 - 120,000",N/A,521 x 403 mm,France,1864-1901,Engraving,Engraving
"Femme au tub - Le tub, from Elles",HENRI DE TOULOUSE-LAUTREC,"USD 23,940","USD 15,000 - 25,000",N/A,397 x 521 mm,France,1864-1901,Engraving,Engraving
Das kranke Kind (The Sick Child),EDVARD MUNCH,"USD 119,700","USD 50,000 - 70,000",N/A,358 x 267 mm,Norway,1863-1944,Engraving,Engraving
The Brooch. Eva Mudocci,EDVARD MUNCH,"USD 226,800","USD 100,000 - 150,000",N/A,597 x 464 mm,Norway,1863-1944,Engraving,Engraving
Les cartes ou La réussite,JACQUES VILLON,"USD 75,600","USD 60,000 - 80,000",N/A,347 x 448 mm,France,1875-1963,Engraving,Engraving
Brustbild einer Arbeiterfrau mit blauem Tuch (Bust of a Worker Woman with Blue Shawl ),KÄTHE KOLLWITZ,"USD 40,320","USD 20,000 - 30,000",N/A,340 x 257 mm,Germany,1867-1945,Engraving,Engraving
Le grand bois,HENRI MATISSE,"USD 25,200","USD 20,000 - 30,000",N/A,475 x 380 mm,France,1869-1954,Engraving,Engraving
Fränzi liegend (Fränzi reclining),ERICH HECKEL,,"USD 100,000 - 150,000",N/A,230 x 416 mm,Germany,1883-1970,Engraving,Engraving
Liegendes Mädchen (Reclining Girl),KARL SCHMIDT-ROTTLUFF,"USD 13,860","USD 5,000 - 7,000",N/A,272 x 335 mm,Germany,1884-1976,Engraving,Engraving
Tänzerin,EMIL NOLDE,"USD 138,600","USD 120,000 - 180,000",N/A,537 x 692 mm,Germany,1867-1956,Engraving,Engraving
Prophet,EMIL NOLDE,"USD 18,900","USD 7,000 - 10,000",N/A,320 x 226 mm,Germany,1867-1956,Engraving,Engraving
Fischdampfer (Fishing Steamer),EMIL NOLDE,"USD 15,120","USD 10,000 - 15,000",N/A,292 x 394 mm,Germany,1867-1956,Engraving,Engraving
"Dampfer (groß, dunkel) (Steamship [Large, Dark])",EMIL NOLDE,,"USD 10,000 - 15,000",N/A,8 x 16 in,Germany,1867-1956,Engraving,Engraving
Fox,GEORGES BRAQUE,"USD 32,760","USD 8,000 - 12,000",N/A,543 x 378 mm,France,1882-1963,Engraving,Engraving
Yvonne D. de profil,JACQUES VILLON,"USD 27,720","USD 18,000 - 25,000",N/A,8 x 16 in,France,1875-1963,Engraving,Engraving
Gelmeroda VII,LYONEL FEININGER,"USD 7,560","USD 6,000 - 8,000",N/A,404 x 334 mm,United States / Germany,1871-1956,Engraving,Engraving
Kopf Ludwig Schames (Head of Ludwig Schames),ERNST LUDWIG KIRCHNER,"USD 17,640","USD 12,000 - 18,000",N/A,578 x 257 mm,Germany,1880-1938,Engraving,Engraving
Selbstbildnis mit steifem Hut (Self-Portrait in Bowler Hat),MAX BECKMANN,"USD 32,760","USD 20,000 - 30,000",N/A,314 x 239 mm,Germany,1884-1950,Engraving,Engraving
"Gruppenbildnis Edenbar (Group Portrait, Eden Bar)",MAX BECKMANN,,"USD 20,000 - 30,000",N/A,492 x 495 mm,Germany,1884-1950,Engraving,Engraving
Sitzender Harlekin (Sitting Harlequin),HEINRICH CAMPENDONK,"USD 10,080","USD 8,000 - 12,000",watercolor,377 x 290 mm,Unknown,1889-1957,Engraving,Engraving
Selbstbildnis mit Grimasse (Self-Portrait with Grimace),MARC CHAGALL,,"USD 10,000 - 15,000",N/A,362 x 264 mm,Belarus / France,1887-1985,Engraving,Engraving
Rechnender Greis (Old Man calculating),PAUL KLEE,"USD 25,200","USD 12,000 - 18,000",N/A,299 x 235 mm,Switzerland / Germany,1879-1940,Engraving,Engraving
L'éveil du géant,JOAN MIRÓ,"USD 20,160","USD 15,000 - 20,000",N/A,270 x 239 mm,Spain,1893-1983,Engraving,Engraving
La géante,JOAN MIRÓ,"USD 23,940","USD 18,000 - 25,000",N/A,350 x 239 mm,Spain,1893-1983,Engraving,Engraving
One Plate from: Série noire et rouge,JOAN MIRÓ,"USD 28,980","USD 20,000 - 30,000",N/A,170 x 260 mm,Spain,1893-1983,Engraving,Engraving
One Plate from: Série noire et rouge,JOAN MIRÓ,"USD 30,240","USD 20,000 - 30,000",N/A,170 x 260 mm,Spain,1893-1983,Engraving,Engraving
Françoise sur fond gris,PABLO PICASSO,"USD 277,200","USD 80,000 - 120,000",N/A,626 x 470 mm,Spain,1881-1973,Engraving,Engraving
Nature morte au verre sous la lampe,PABLO PICASSO,"USD 239,400","USD 150,000 - 200,000",N/A,526 x 636 mm,Spain,1881-1973,Engraving,Engraving
Red and White Petunia,BLANCHE LAZZELL,"USD 30,240","USD 8,000 - 12,000",N/A,12 x 14 in,United States,1878-1956,Engraving,Engraving
The Skyrocket,BROR JULIUS OLSSON NORDFELDT,"USD 20,160","USD 8,000 - 12,000",N/A,219 x 285 mm,United States,1878-1955,Engraving,Engraving
A Spring Day (Mother and Child),BROR JULIUS OLSSON NORDFELDT,"USD 47,880","USD 15,000 - 25,000",N/A,8 x 11 in,United States,1878-1955,Engraving,Engraving
Lady with a Fan and Sunflowers,ETHEL MARS,"USD 10,710","USD 5,000 - 7,000",N/A,250 x 267 mm,United States,1876-1959,Engraving,Engraving
West Virginia Hills,BLANCHE LAZZELL,"USD 90,720","USD 12,000 - 18,000",N/A,12 x 12 in,United States,1878-1956,Engraving,Engraving
Austerity,FRANCES H. GEARHART,"USD 7,560","USD 6,000 - 8,000",N/A,8 x 11 in,United States,1869-1958,Engraving,Engraving
April,GUSTAVE BAUMANN,"USD 7,560","USD 8,000 - 12,000",N/A,8 x 13 in,United States,1881-1971,Engraving,Engraving
Artist Working,MABEL HEWIT,"USD 6,048","USD 2,500 - 3,500",N/A,308 x 276 mm,United States,1903-1984,Engraving,Engraving
Eight Bells,WINSLOW HOMER,"USD 128,520","USD 50,000 - 70,000",N/A,487 x 625 mm,United States,1836-1910,Engraving,Engraving
Perils of the Sea,WINSLOW HOMER,"USD 52,920","USD 40,000 - 60,000",N/A,420 x 550 mm,United States,1836-1910,Engraving,Engraving
A Voice from the Cliffs,WINSLOW HOMER,"USD 113,400","USD 40,000 - 60,000",N/A,580 x 825 mm,United States,1836-1910,Engraving,Engraving
"Fly Fishing, Saranac Lake",WINSLOW HOMER,"USD 81,900","USD 40,000 - 60,000",N/A,440 x 572 mm,United States,1836-1910,Engraving,Engraving
"Nocturne, from First Venice Set",JAMES ABBOTT MCNEILL WHISTLER,"USD 119,700","USD 50,000 - 70,000",N/A,200 x 292 mm,United States / United Kingdom,1834-1903,Engraving,Engraving
"The Two Doorways, from First Venice Set",JAMES ABBOTT MCNEILL WHISTLER,"USD 32,760","USD 12,000 - 18,000",N/A,202 x 291 mm,United States / United Kingdom,1834-1903,Engraving,Engraving
"Draped Figure, reclining",JAMES ABBOTT MCNEILL WHISTLER,"USD 50,400","USD 40,000 - 60,000",N/A,204 x 310 mm,United States / United Kingdom,1834-1903,Engraving,Engraving
Evening on the Pier No. 3,MAURICE BRAZIL PRENDERGAST,"USD 81,900","USD 40,000 - 60,000",N/A,8 x 8 in,United States,1858-1924,Engraving,Engraving
Study of a Young Man (seated),JOHN SINGER SARGENT,"USD 40,320","USD 10,000 - 15,000",N/A,292 x 218 mm,United States,1856-1925,Engraving,Engraving
The White Kimono,CHILDE HASSAM,"USD 16,380","USD 6,000 - 8,000",N/A,191 x 279 mm,United States,1859-1935,Engraving,Engraving
A Stag at Sharkey's,GEORGE WESLEY BELLOWS,"USD 214,200","USD 60,000 - 80,000",N/A,473 x 606 mm,United States,1882-1925,Engraving,Engraving
Going West,THOMAS HART BENTON,"USD 32,760","USD 15,000 - 20,000",N/A,308 x 591 mm,United States,1889-1975,Engraving,Engraving
"Huck Finn, from The Missouri State Capitol Mural Series",THOMAS HART BENTON,"USD 15,120","USD 6,000 - 8,000",N/A,419 x 549 mm,United States,1889-1975,Engraving,Engraving
John Brown,JOHN STEUART CURRY,"USD 2,772","USD 3,000 - 5,000",N/A,375 x 279 mm,United States,1897-1946,Engraving,Engraving
Emiliano Zapata,DIEGO RIVERA,"USD 32,760","USD 20,000 - 30,000",N/A,411 x 335 mm,Mexico,1886-1957,Engraving,Engraving
Sharecropper,ELIZABETH CATLETT,"USD 52,920","USD 8,000 - 12,000",N/A,450 x 419 mm,United States,1915-2012,Engraving,Engraving
Sharecropper,ELIZABETH CATLETT,"USD 35,280","USD 8,000 - 12,000",N/A,110 x 152 mm,United States,1915-2012,Engraving,Engraving
"Night Shadows, from Six American Etchings (Series I)",EDWARD HOPPER,"USD 100,800","USD 20,000 - 30,000",N/A,178 x 210 mm,United States,1882-1967,Engraving,Engraving
Evening Wind,EDWARD HOPPER,"USD 113,400","USD 20,000 - 30,000",N/A,175 x 210 mm,United States,1882-1967,Engraving,Engraving
Night on the El Train,EDWARD HOPPER,"USD 378,000","USD 150,000 - 200,000",N/A,190 x 202 mm,United States,1882-1967,Engraving,Engraving
American Landscape,EDWARD HOPPER,"USD 81,900","USD 50,000 - 70,000",N/A,184 x 311 mm,United States,1882-1967,Engraving,Engraving
The Cat Boat,EDWARD HOPPER,"USD 144,900","USD 40,000 - 60,000",N/A,197 x 248 mm,United States,1882-1967,Engraving,Engraving
Night in the Park,EDWARD HOPPER,"USD 113,400","USD 50,000 - 70,000",N/A,200 x 206 mm,United States,1882-1967,Engraving,Engraving
East Side Interior,EDWARD HOPPER,"USD 37,800","USD 15,000 - 20,000",N/A,8 x 10 in,United States,1882-1967,Engraving,Engraving
The Lonely House,EDWARD HOPPER,"USD 214,200","USD 150,000 - 200,000",N/A,200 x 250 mm,United States,1882-1967,Engraving,Engraving
Glow of the City,MARTIN LEWIS,"USD 52,920","USD 20,000 - 30,000",N/A,286 x 362 mm,United States,1881-1962,Engraving,Engraving
Rain on Murray Hill,MARTIN LEWIS,"USD 10,080","USD 8,000 - 12,000",N/A,200 x 303 mm,United States,1881-1962,Engraving,Engraving
Shadow Dance,MARTIN LEWIS,"USD 50,400","USD 20,000 - 30,000",N/A,239 x 273 mm,United States,1881-1962,Engraving,Engraving
Tattoo - Shave - Haircut,REGINALD MARSH,"USD 21,420","USD 15,000 - 20,000",N/A,248 x 248 mm,United States,1898-1954,Engraving,Engraving
Woolworth Building (The Dance),JOHN MARIN,"USD 57,960","USD 20,000 - 30,000",N/A,325 x 265 mm,United States,1870-1953,Engraving,Engraving
"Brooklyn Bridge, No. 6 (Swaying)",JOHN MARIN,"USD 8,820","USD 7,000 - 10,000",N/A,272 x 222 mm,United States,1870-1953,Engraving,Engraving
Arrangement - New York,JAN MATULKA,"USD 30,240","USD 20,000 - 30,000",N/A,415 x 320 mm,United States,1890-1972,Engraving,Engraving
New York,LOUIS LOZOWICK,"USD 60,480","USD 40,000 - 60,000",N/A,8 x 9 in,United States,1892-1973,Engraving,Engraving
Brooklyn Bridge,LOUIS LOZOWICK,"USD 11,340","USD 5,000 - 7,000",N/A,330 x 200 mm,United States,1892-1973,Engraving,Engraving
Manhattan Gateway,STOW WENGENROTH,"USD 17,640","USD 6,000 - 8,000",N/A,8 x 18 in,United States,1906-1978,Engraving,Engraving
Skyscraper,HOWARD COOK,"USD 4,032","USD 4,000 - 6,000",N/A,454 x 222 mm,United States,1901-1980,Engraving,Engraving
Man's Canyons,SAMUEL MARGOLIES,"USD 6,930","USD 7,000 - 10,000",N/A,301 x 225 mm,United States,1897-1974,Engraving,Engraving
Traffic Control,BENTON M. SPRUANCE,"USD 52,920","USD 25,000 - 35,000",N/A,229 x 365 mm,United States,1904-1967,Engraving,Engraving
"The People Work - Morning, Noon, Evening, Night",BENTON M. SPRUANCE,"USD 56,700","USD 25,000 - 35,000",N/A,8 x 19 in,United States,1904-1967,Engraving,Engraving
Bowery Nocturne,RAPHAEL SOYER,"USD 13,860","USD 5,000 - 7,000",N/A,324 x 454 mm,United States,1899-1987,Engraving,Engraving
"Bread Line, New York",CLARE LEIGHTON,"USD 13,860","USD 5,000 - 7,000",N/A,12 x 8 in,England,1898-1989,Engraving,Engraving
Barber Shop Chord,STUART DAVIS,"USD 60,480","USD 20,000 - 30,000",N/A,355 x 480 mm,United States,1892-1964,Engraving,Engraving
Sixth Avenue El,STUART DAVIS,"USD 60,480","USD 20,000 - 30,000",N/A,302 x 455 mm,United States,1892-1964,Engraving,Engraving
Arrangement for Drums,BENTON M. SPRUANCE,"USD 18,900","USD 7,000 - 10,000",N/A,241 x 375 mm,United States,1904-1967,Engraving,Engraving
Mannikin,ARSHILE GORKY,"USD 40,320","USD 10,000 - 15,000",N/A,368 x 286 mm,Armenia / United States,1904-1948,Engraving,Engraving
Barn Abstraction,CHARLES SHEELER,"USD 163,800","USD 70,000 - 100,000",N/A,210 x 467 mm,United States,1883-1965,Engraving,Engraving
Roses,CHARLES SHEELER,"USD 8,820","USD 5,000 - 7,000",N/A,403 x 286 mm,United States,1883-1965,Engraving,Engraving
Yachts,CHARLES SHEELER,"USD 22,680","USD 6,000 - 8,000",N/A,220 x 268 mm,United States,1883-1965,Engraving,Engraving
Delmonico Building,CHARLES SHEELER,"USD 17,640","USD 8,000 - 12,000",N/A,248 x 171 mm,United States,1883-1965,Engraving,Engraving
Industrial Series #1,CHARLES SHEELER,"USD 44,100","USD 30,000 - 50,000",N/A,208 x 283 mm,United States,1883-1965,Engraving,Engraving
Le Petit Vent du Nord,LOUIS WELDEN HAWKINS,"GBP 12,600","GBP 10,000 - 15,000",,37.8 x 26.7 cm,FRENCH,1849-1910,Realism,Modern Art
Full-length nude study of Mary Best for 'Tristram and Yseult',HERBERT JAMES DRAPER,"GBP 25,200","GBP 25,000 - 35,000",,76.2 x 41.3 cm,BRITISH,1864-1920,Realism,Nude
"Head study of Dorothy Dene, in profile, for 'Faith'","FREDERIC, LORD LEIGHTON, P.R.A., R.W.S.","GBP 12,600","GBP 12,000 - 18,000",,33 x 27.6 cm,BRITISH,1830-1896,Realism,Modern Art
The Sluggard,"Frederic, Lord Leighton, P.R.A., R.W.S.","GBP 21,420","GBP 20,000 - 30,000","bronze, brown patina",,BRITISH,1830-1896,Realism,Modern Art
"Portrait of Cyril Flower, Lord Battersea","ANTHONY FREDERICK AUGUSTUS SANDYS, A.R.A.","GBP 44,100","GBP 30,000 - 50,000",,64.8 x 52.5 cm,BRITISH,1829-1904,Realism,Portrait
"Head of Miss Margaret Elizabeth Benson (later Mrs Margaret Drummond, 1856-1941)","SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.","GBP 11,340","GBP 12,000 - 18,000",,26 x 13.6 cm,BRITISH,1833-1898,Realism,Modern Art
Tristram and Isolde,EDMUND BLAIR LEIGHTON,"GBP 10,710","GBP 12,000 - 18,000",oil on panel,15.5 x 27.3 cm,BRITISH,1853-1922,Realism,Modern Art
Das Frauenbad am Felsentor,KARL MEDIZ,"GBP 25,200","GBP 30,000 - 50,000",oil on canvas,153.4 x 155.5 cm,GERMAN,1868-1944,Realism,Modern Art
Eros,EDGARD MAXENCE,"GBP 1,890","GBP 6,000 - 8,000",oil on panel,28.9 x 41.7 cm,FRENCH,1871-1954,Realism,Modern Art
Mermaid rising from the sea,"HENRY JOHN STOCK, R.I., R.O.I.","GBP 9,450","GBP 4,000 - 6,000",,37.5 x 26.7 cm,BRITISH,1853-1930,Realism,Modern Art
Sea Melodies,HERBERT JAMES DRAPER,"GBP 37,800","GBP 20,000 - 30,000","oil on panel, painted oval",34.9 x 24.8 cm,BRITISH,1854-1920,Realism,Modern Art
Arctic Encounter,"ARTHUR WARDLE, R.I.","GBP 16,380","GBP 10,000 - 15,000",oil on board,34 x 25.5 cm,BRITISH,1864-1949,Realism,Modern Art
Two female nude studies for 'The Lament for Icarus',HERBERT JAMES DRAPER,,"GBP 3,000 - 5,000",,16.5 x 14 cm,BRITISH,1864-1920,Realism,Nude
Madonna of the Peach Tree,"SIR GEORGE FRAMPTON, R.A.","GBP 6,300","GBP 6,000 - 8,000","15 ¼ in. (38.7 cm.) high, the bronze; 22 ¾ in. (57.8 cm.) high, including the plinth",,BRITISH,1860-1928,Realism,Modern Art
St Bénézet of Avignon,"ELEANOR FORTESCUE BRICKDALE, R.W.S.","GBP 6,930","GBP 2,500 - 3,500",,37.2 x 26.4 cm,BRITISH,1871-1945,Realism,Modern Art
Christian at the foot of the cross - The Pilgrim's Progress,"JOSEPH NOEL PATON, R.S.A.","GBP 6,300","GBP 7,000 - 10,000","oil on canvas, with an arched top",40 x 26.5 cm,BRITISH,1821-1909,Realism,Modern Art
St Catherine (The Miraculous Wedding),"SIR ALFRED GILBERT, M.V.O., R.A.","GBP 10,710","GBP 7,000 - 10,000","bronze, mid-brown patina",,BRITISH,1854-1934,Realism,Modern Art
An illustration to 'The Golden Legend',"SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.",,"GBP 3,000 - 5,000",,21.5 x 14.5 cm,BRITISH,1833-1898,Realism,Modern Art
Jupiter,"SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.  FOR MORRIS & CO","GBP 25,200","GBP 25,000 - 35,000",,108 x 65 cm,BRITISH,1833-1898,Realism,Modern Art
"'Justice', Study for a stained glass window in Kolkata Cathedral","SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.","GBP 6,300","GBP 3,000 - 5,000",,25.1 x 12.9 cm,BRITISH,1833-1898,Realism,Modern Art
"Rizpah, a colour sketch","FREDERIC, LORD LEIGHTON, P.R.A., R.W.S.","GBP 7,560","GBP 6,000 - 8,000",oil on canvas,19 x 19 cm,BRITISH,1830-1896,Realism,Modern Art
Bella Simonetta,LUCIEN LÉVY-DHURMER,"GBP 1,890","GBP 8,000 - 12,000",,63.9 x 43.4 cm,FRENCH,1865-1953,Realism,Modern Art
"Piazza of St Mark from the Canal, Venice","DAVID ROBERTS, R.A.","GBP 302,400","GBP 100,000 - 150,000",oil on canvas,68.7 x 114.8 cm,BRITISH,1796-1864,Realism,Modern Art
The Tower from London Bridge,HENRY DAWSON,"GBP 9,450","GBP 10,000 - 15,000",oil on canvas,81.9 x 128 cm,BRITISH,1811-1878,Realism,Modern Art
London Bridge,JOHN ATKINSON GRIMSHAW,,"GBP 120,000 - 180,000",oil on canvas,50.6 x 76.1 cm,BRITISH,1836-1893,Realism,Modern Art
"Glasgow docks, at twilight",JOHN ATKINSON GRIMSHAW,"GBP 50,400","GBP 40,000 - 60,000",oil on canvas,32.7 x 48.1 cm,BRITISH,1836-1893,Realism,Modern Art
Old Chelsea,JOHN ATKINSON GRIMSHAW,"GBP 88,200","GBP 70,000 - 100,000",oil on board,17.8 x 38.1 cm,BRITISH,1836-1893,Realism,Modern Art
"The riverside, Chelsea","CHARLES NAPIER HEMY, R.A., R.W.S.","GBP 25,200","GBP 8,000 - 12,000",oil on canvas,61.6 x 97 cm,BRITISH,1841-1917,Realism,Modern Art
The Engraving,"AMBROSE MCEVOY, A.R.A.",,"GBP 10,000 - 15,000",oil on canvas,79.9 x 64.8 cm,BRITISH,1877-1927,Realism,Modern Art
The Flower Market,LOUIS MARIE DE SCHRYVER,"GBP 100,800","GBP 100,000 - 150,000",oil on canvas,51 x 60.5 cm,FRENCH,1862-1942,Realism,Modern Art
Le Moulin de la Galette,FRANK MYERS BOGGS,,"GBP 15,000 - 25,000",oil on canvas,55 x 38 cm,AMERICAN,1855-1926,Realism,Modern Art
La Partie de Billiard,JEAN BÉRAUD,,"GBP 30,000 - 50,000",oil on panel,32.5 x 40 cm,FRENCH,1849-1936,Realism,Modern Art
Le Moulin de la Galette,MAURICE UTRILLO,,"GBP 30,000 - 50,000",oil on board,53.5 x 64.8 cm,FRENCH,1883-1955,Realism,Modern Art
Amazone ouvrant la chasse devant les habits rouge,ALFRED DE DREUX,,"GBP 12,000 - 18,000",oil on canvas laid on panel,32.2 x 23.8 cm,FRENCH,1810-1860,Realism,Modern Art
Portrait d'enfant assis avec ses chiens,ALFRED DE DREUX,"GBP 18,900","GBP 15,000 - 25,000",oil on canvas,55.7 x 45.8 cm,FRENCH,1810-1860,Realism,Portrait
Full Cry,"JOHN FREDERICK HERRING, SEN.",,"GBP 30,000 - 50,000",oil on canvas,36 x 81 cm,BRITISH,1795-1865,Realism,Modern Art
An English Landscape,FREDERICK WILLIAM HULME,"GBP 2,142","GBP 7,000 - 10,000",oil on canvas laid down on board,58 x 42 cm,BRITISH,1816-1884,Realism,Landscape
Caught on the rocks,"RICHARD ANSDELL, R.A.","GBP 2,772","GBP 7,000 - 10,000",oil on canvas,25.5 x 81.5 cm,BRITISH,1815-1885,Realism,Modern Art
An Unwelcome Visitor,"RICHARD ANSDELL, R.A.","GBP 6,300","GBP 10,000 - 15,000","oil on canvas, unframed",112.5 x 86.8 cm,BRITISH,1815-1885,Realism,Modern Art
On the waste of Cumberland,WILLIAM JAMES BLACKLOCK,"GBP 16,380","GBP 10,000 - 15,000",oil on canvas,33.4 x 56 cm,BRITISH,1816-1858,Realism,Modern Art
Étaples,CHARLES-FRANÇOIS DAUBIGNY,"GBP 30,240","GBP 12,000 - 18,000",oil on panel,42 x 81.5 cm,FRENCH,1817-1878,Realism,Modern Art
Souvenir d'Ault,JEAN-BAPTISTE-CAMILLE COROT,"GBP 50,400","GBP 30,000 - 50,000",oil on canvas,33.3 x 42.8 cm,FRENCH,1796-1875,Realism,Modern Art
Haymaking,JULIEN DUPRÉ,"GBP 12,600","GBP 10,000 - 15,000",oil on canvas,46 x 38 cm,FRENCH,1851-1910,Realism,Modern Art
Étang au crépuscule,THÉODORE ROUSSEAU,"GBP 13,860","GBP 8,000 - 12,000",oil on panel,21 x 37 cm,FRENCH,1812-1867,Realism,Modern Art
"L'étang, coucher de soleil",THÉODORE ROUSSEAU,"GBP 12,600","GBP 10,000 - 15,000",oil on panel,25.1 x 33.5 cm,FRENCH,1812-1867,Realism,Modern Art
"Un barrage près d’Ornans, or L’Écluse de la Loue",GUSTAVE COURBET,,"GBP 100,000 - 150,000",oil on canvas,59 x 73 cm,FRENCH,1819-1877,Realism,Modern Art
Baigneuses dans une crique boisée,JEAN-BAPTISTE-CAMILLE COROT,"GBP 44,100","GBP 40,000 - 60,000",oil on panel,26.4 x 35 cm,FRENCH,1796-1875,Realism,Modern Art
She has lost her way,DANIEL RIDGWAY KNIGHT,,"GBP 25,000 - 35,000",oil on canvas,65 x 31.8 cm,AMERICAN,1839-1924,Realism,Modern Art
Portrait of M. Nicolle,GUSTAVE COURBET,,"GBP 70,000 - 100,000",oil on canvas,61 x 50 cm,FRENCH,1819-1877,Realism,Portrait
"Viburnum Oculus, Roses, Plumbago, Primula Auricula, Hemerocallis, Companula, Chinadoxia and Epiphyllum on a ledge with a Pineapple and a Parrot",FRANZ XAVER PETTER,,"GBP 50,000 - 70,000",oil on panel,93.5 x 76.2 cm,AUSTRIAN,1791-1866,Realism,Modern Art
"Boats on a canal, moonlight",ANDREAS ACHENBACH,"GBP 9,450","GBP 10,000 - 15,000",oil on canvas,78.4 x 95.3 cm,GERMAN,1815-1910,Realism,Modern Art
The flower basket,VITTORIO MATTEO CORCOS,"GBP 63,000","GBP 70,000 - 100,000",oil on canvas,96.5 x 54.6 cm,ITALIAN,1859-1933,Realism,Modern Art
Intérieur à Londres,JACQUES-ÉMILE BLANCHE,"GBP 17,640","GBP 15,000 - 25,000",oil on canvas,99.5 x 120 cm,FRENCH,1861-1942,Realism,Modern Art
Lady in Black,JACQUES-ÉMILE BLANCHE,,"GBP 80,000 - 120,000",oil on canvas,160 x 124.5 cm,FRENCH,1861-1942,Realism,Modern Art
Nudo femminile,GIOVANNI BOLDINI,,"GBP 60,000 - 80,000",oil on panel,27 x 34.9 cm,ITALIAN,1842-1931,Realism,Modern Art
Carnations; and Lady Pirrie Rose,"ELEANOR FORTESCUE BRICKDALE, R.W.S.",,"GBP 6,000 - 10,000",,37.4 x 26.7 cm,BRITISH,1871-1945,Realism,Modern Art
Un Coin de Jardin,LOUIS WELDEN HAWKINS,"GBP 5,670","GBP 10,000 - 20,000",oil on canvas,90.5 x 105 cm,FRENCH,1849-1910,Realism,Modern Art
