Название;Имя художника;Стоимость;Примерная оценка;Размер;Страна;Период;Стиль
Viewing Winter Landscape / Plum Blossoms;GU LINSHI;HKD 23,940;HKD 20,000 - 30,000;77.5 x 43 cm;CHINA;1865-1952;Traditional Chinese Art
Calligraphy in Running Script;SONG XIANG;HKD 16,380;HKD 20,000 - 30,000;196.5 x 49 cm;CHINA;1748-1826;Traditional Chinese Art
Poem by Yuan Haowen in Running Script;WANG QISUN;HKD 11,970;HKD 30,000 - 50,000;165 x 36.5 cm;CHINA;1755-1817;Traditional Chinese Art
Calligraphy in Running Script by Four Scholar in the Late Qing Dynasty;DAI XI;HKD 100,800;HKD 40,000 - 60,000;194 x 41.5 cm;CHINA;1801-1860;Traditional Chinese Art
Flowers;QIAN ZAI;HKD 69,300;HKD 50,000 - 70,000;25.5 x 289 cm;CHINA;1708-1793;Traditional Chinese Art
Calligraphy in Clerical Script;JIANG HE;;HKD 80,000 - 120,000;95.5 x 329 cm;CHINA;17-18TH CENTURY;Traditional Chinese Art
Wealth and Long-Lived;ZHENG MANQING;;HKD 30,000 - 50,000;217 x 50 cm;CHINA;1902-1975;Traditional Chinese Art
Orchids, Bees and Rock;QI LIANGSI;;HKD 20,000 - 30,000;102 x 33 cm;CHINA;1923-1988;Traditional Chinese Art
Seven-character Poem in Running Script;WU CHANGSHUO;HKD 113,400;HKD 50,000 - 70,000;66 x 33 cm;CHINA;1844-1927;Traditional Chinese Art
Seven-character Poems in Running Script;ZHENG XIAOXU;HKD 44,100;HKD 30,000 - 50,000;163.5 x 40 cm;CHINA;1860-1938;Traditional Chinese Art
Seven-character Calligraphic Couplet in Running Script;KANG YOUWEI;HKD 35,280;HKD 20,000 - 30,000;33 x 34 cm;CHINA;1858-1927;Traditional Chinese Art
Calligraphy in Running Script;WU XIZAI;;HKD 30,000 - 50,000;121 x 32 cm;CHINA;1799-1870;Traditional Chinese Art
Seven-character Calligraphic Couplet in Seal Script;YANG YISUN;;HKD 30,000 - 50,000;134.5 x 32.5 cm;CHINA;1812-1881;Traditional Chinese Art
Seven-character Calligraphic Couplet in Running Script;ZHANG YUZHAO;;HKD 12,000 - 20,000;123 x 28.5 cm;CHINA;1823-1894;Traditional Chinese Art
Scholar Viewing the Mountain;FAN HAOLIN;HKD 11,340;HKD 15,000 - 25,000;102 x 46.3 cm;CHINA;1885-1962;Traditional Chinese Art
Amusement in the Courtyard;SHEN XINHAI;HKD 20,160;HKD 10,000 - 20,000;119.3 x 58 cm;CHINA;1855-AFTER 1941;Traditional Chinese Art
Boating in Mountains;YUAN PEIJI;HKD 8,820;HKD 10,000 - 20,000;103.7 x 39.4 cm;CHINA;1870-1943;Traditional Chinese Art
Spring River in Mountains;GU YI;HKD 10,080;HKD 10,000 - 20,000;88.5 x 40.2 cm;CHINA;1882-1941;Traditional Chinese Art
Landscape;WITH SIGNATURE OF LAN YING;HKD 13,860;HKD 30,000 - 50,000;38.5 x 17.5 cm;CHINA;16TH-17TH CENTURY;Traditional Chinese Art
Cai Yan's Return to Han;SU LIUPENG;HKD 44,100;HKD 30,000 - 50,000;110.8 x 41 cm;CHINA;CIRCA 1796-1862;Traditional Chinese Art
Figure;WANG QI;;HKD 10,000 - 20,000;98.6 x 21 cm;CHINA;1776-1840;Traditional Chinese Art
Flowers;ZHANG XIONG;HKD 17,640;HKD 20,000 - 30,000;122.7 x 31.4 cm;CHINA;1803-1886;Traditional Chinese Art
Flowers;XIE GUANSHENG;;HKD 60,000 - 100,000;35.2 x 421.2 cm;CHINA;LATE 18TH-EARLY 19TH CENTURY;Traditional Chinese Art
Calligraphy in Stone-drum Script / Landscape;YI LIXUN;;HKD 20,000 - 40,000;126.2 x 36.3 cm;CHINA;1848-1899;Traditional Chinese Art
Chrysanthemum and Rock / Wisteria;LÜ YUAN;;HKD 20,000 - 40,000;100 x 35 cm;CHINA;QING DYNASTY;Traditional Chinese Art
Seven-character Poem in Regular Script;ZHANG BAIXI;HKD 25,200;HKD 50,000 - 70,000;173.8 x 82.1 cm;CHINA;1847-1907;Traditional Chinese Art
Seven-character Poem in Running Script;CHEN YIXI;;HKD 80,000 - 120,000;118.6 x 42.4 cm;CHINA;1648-1709;Traditional Chinese Art
Five-character Poem in Cursive Script;HUANG YUANZHEN;;HKD 40,000 - 60,000;127.6 x 44.8 cm;CHINA;17TH-18TH CENTURY;Traditional Chinese Art
Calligraphy in Running Script;SHEN QUAN;;HKD 40,000 - 60,000;73.4 x 26.7 cm;CHINA;1624-1684;Traditional Chinese Art
The Family Instructions of Zhu Xi;ZENG GUOQUAN;HKD 50,400;HKD 40,000 - 60,000;168.5 x 42 cm;CHINA;1824-1890;Traditional Chinese Art
Calligraphy;XU BAOGUANG;HKD 32,760;HKD 30,000 - 50,000;126.5 x 43.8 cm;CHINA;1671-1723;Traditional Chinese Art
Seven-character Poem by Xu Fang in Running Cursive Script;HE ZHUO;;HKD 40,000 - 60,000;111.2 x 38 cm;CHINA;1661-1722;Traditional Chinese Art
Five-character Poem by Yu Hu in Running Cursive Script;CHEN JIRU;;HKD 120,000 - 180,000;129.5 x 28 cm;CHINA;1558-1639;Traditional Chinese Art
;YUAN SHANGTONG;HKD 27,720;HKD 30,000 - 40,000;63.8 x 37.5 cm;CHINA;1570-CIRCA 1661;Traditional Chinese Art
Landscapes;CHENG JIASUI;HKD 44,100;HKD 30,000 - 50,000;23.3 x 14.5 cm;CHINA;1565-1643;Traditional Chinese Art
Correspondences / Figures;MU'AN XINGTAO;;HKD 60,000 - 80,000;17.5 x 29 cm;CHINA;1600-1684;Traditional Chinese Art
